   1 	   122.6213 
   2 	   132.1295 
   3 	   141.4387 
   4 	   150.9812 
   5 	   160.2992 
   6 	   169.7349 
   7 	   179.2658 
   8 	   188.3597 
   9 	   198.1503 
  10 	   207.3983 
  11 	   216.9835 
  12 	   226.4483 
  13 	   235.8832 
  14 	   245.1636 
  15 	   254.7228 
  16 	   264.2359 
  17 	   273.5522 
  18 	   282.8788 
  19 	   292.3323 
  20 	   301.8592 
  21 	   311.2620 
  22 	   320.7814 
  23 	   330.2552 
  24 	   339.6076 
  25 	   349.0315 
  26 	   358.4279 
  27 	   500.0659 
  28 	   509.5384 
  29 	   518.9382 
  30 	   528.4271 
  31 	   537.7443 
  32 	   547.3600 
  33 	   556.6663 
  34 	   566.2066 
  35 	   575.6756 
  36 	   584.9635 
  37 	   594.4728 
  38 	   603.8691 
  39 	   613.4095 
  40 	   622.7927 
  41 	   632.2547 
  42 	   641.6013 
